Species	Label	Species_id	Treatment	Strain	Strain_id	comp_01	comp_02	comp_03	comp_04	comp_05	comp_06	comp_07	comp_08	comp_09	comp_10	comp_11	comp_12	comp_13	comp_14	comp_15	comp_16	comp_17	comp_18	comp_19	comp_20	comp_21	comp_22	comp_23	comp_24	comp_25	comp_26	comp_27	comp_28	comp_29	comp_30	comp_31	comp_32	comp_33	comp_34	comp_35	comp_36	comp_37	comp_38	comp_39	comp_40	comp_41	comp_42	comp_43	comp_44	comp_45	comp_46	comp_47	comp_48	comp_49	comp_50	comp_51	comp_52	comp_53	comp_54	comp_55	comp_56	comp_57	comp_58	comp_59	comp_60	comp_61	comp_62	comp_63	comp_64	comp_65	comp_66	comp_67	comp_68	comp_69	comp_70	comp_71	comp_72	comp_73	comp_74	comp_75	comp_76	comp_77				
M. parvispora	PA1ac	PA	c	M22	1	12210776	293979	3610080		9969043	1127540		198425			198403			1312467		290411		1702909			268563			2252009	172883	134665		527239					571310			425594	17908					330927		218174							11560		43245					1248163			15660				68766	672062				722312	688577		244198	103268			129484				
M. parvispora	PA2a+	PA	+	Pfs28	2	7153329	3058373	1542243		3163231	84065144	319039	1166656	618444			581702	2092750	27777026	3934881	704293	139157	233421232			47280			176824048	235976	499981	82507	612562	36068	939677							101830		23725	87485720		1005789	444438	683105	7878968	2664784	48713732		3459396				740888		272045	447221	105736	617941			850457	633505	952665	69062		2887813			177214		408671	309244	29278564	111758			2832557				
M. parvispora	PA2ac	PA	c	Pfs28	2	11077593	668141	4245058		10920520	2500519		518102			450734			1706916		197497		2775802			116877			1517126	311153	141769		223136					152171			182598	69622		62357	718767		1241363	406562	200785			313713						655546		38369	370518	97527	100066			381989					2627381					431149	43477	409914	212606			2437466				
M. parvispora	PA3a+	PA	+	Pr1s18	3	6163870	5461657	1228708		3169834	98988064	521245	2239530					970480	18110686	203960	138855	88791	148893184		31031	97870			289157440	233342	1022743		1523984		2136643				123896						1989013		655689	196299	134444	14649566	304923	55964736					54791	182464			170471	159481	548157		207616				48634	217155	973798			45172		521425	322732	36229028	138094			720608				
M. parvispora	PA3ac	PA	c	Pr1s18	3	12319086	688000	4053700		11629303	1118695		350239						1743399		102444		2437101			68070			1365723	285105	108400		191750					158410			268216	19796			247610		302349	226211	242552			210795						197355			86363	38259	34591		730838						1012506					359028	37247	660256	189044			718877				
M. parvispora	PA4a+	PA	+	Prw1_1	4	22844416	1595708	441188	255152	441250	137428480			253633		177472	125586	698649	30048364	240354	921588		124852776	5435112	57440	398949			2438898	241525		121147				484574				217462					1896221		910259	96635		457033		3012853					111306	133933	37385		74811	65621	29756	18632	85726	83031					1092691					319002		2453755	141242		19637798	529187				
M. parvispora	PA4ac	PA	c	Prw1_1	4	22627300	2220084	501654	183160	498294	170151168			305198			281239	871885	40207896	299256	940691		162346624	6826310	13556	129600			1645094	159890		41935				320610				53694					806666		620708			100007		475687						50034				19487	53218								780454					398225		6536500	98695		33202422	304446				
M. parvispora	PA5a+	PA	+	M1	5	5894110	4606658	1101805		2629095	90022632	279158	1802232					334466	19214520			237738	99771976			106391			316903488	263491	1212323		1279069	530142	1701523			149531	178420						440848		650035	74663	16768	10830356		21019732		277231				136686			144414	151861	152953	29560		94561	163176	167670	182093		714467					362706	240166	49813600	217991		264144	502169				
M. parvispora	PA5ac	PA	c	M1	5	11650893	527535	3536491		9341126	1184023		573405			443432			1399689		195920		1949006			81559			1417464	269662	115098		286742					220156			226434						604382	62604	115618									120268			52081	97235	90564			51316					922478					288868	32681	876279	212778		174949	435054				
M.hyalina	HY1a+	HY	+	Ks1_7	1	6713475	4599520	1290341		2449749	66550848		1573788					274817	16513428		88741		57757244			278640			282167456	206524	603451		852526	223067	215754				89608						668005		820218	107784	51804	14402803		32803992						152495			182338	135485	86415			46504				1145668	762789	58956				309037	1205514	31679940	219295	111541	59224	392169				
M.hyalina	HY1ac	HY	c	Ks1_7	1	12601672	2492951	1991046		10372077	812640					246789			1534364		130685		2685297			83925	1015933		837691	198716																	256286	220236				139888						143064			109106	135559	37247		563041					392830	718781	99432				280239	783866	1018031	220754		48901	363118				
M.hyalina	HY2a+	HY	+	Ks2_11	2	6707614	3244304	1572729		2972160	36353180	87386	1527641			123886		269124	12243657	189379	333184	152820	217813616	33694	125296	544475	273903		234918064	209922	299171	378577	463511	1393766					93234			508665					700901	133876	27917	5307390		9906369					103416	137925			201722	149801	65135				41360	90665	103952	4898716	938182					338829	1256852	69731360	192266			548312				
M.hyalina	HY2ac	HY	c	Ks2_11	2	12711721	3092468	2004377		9412630	1747542					415616			1394799		553365		3677207		60002	48689	1087009	115100		253335									38201			59149					445252	112591										167531			163675	131454	240562		276080					470742	768182					328906	834705	218918	183800			562835				
M.hyalina	HY3a+	HY	+	Ks2_12	3	7452385	3169615	1522545		5811246	31982870		991478			306973		260856	10699947	248816	575189		125862896	44533	118864	835906	86202		169141424	245829	229074	602137	346419	189638					54169			516167			2365694		576056	155346	102970	4408972		24115332	16229	285590			44080	241624			243607	183170	427291		197559	155787		85994	59492	1540380	1151636					485067	929991	11268431	173552			961534				
M.hyalina	HY3ac	HY	c	Ks2_12	3	9268949	4307464	1435117		8035123	1867413		108907			236800			1192451		679694		2809499			167460	646353	163288	422721	270336	38711											196890			293970		580235	177255				138575					67202	264180			237015	131935	273705			106986				199157	1292340					492413	962098	86229	176945			966423				
M.hyalina	HY4a+	HY	+	Patw2_7	4	9743640	2802837	1836983		4862142	20926550	64657	1003849					164275	14326616		243760		174967920			83004	413210		190537184	231328	298875		372596	288505	78583				86410			58001			482387		775245	105439	40757	4070725		8015440	29393					106591			155955	201214	91292						57120	1801831	861324					349907	1066550	30121714	250982			331478				
M.hyalina	HY4ac	HY	c	Patw2_7	4	10950779	2890205	2859878		11184419	2857230		74591			334766			1516882		612662		3607976			217606	1674515		1409240	155167			181768									123260			421006		1099305		10349									38753			24535	33233	12243							1580267	569733					209325	534131	516508	100898			152025				
M.sclerotiella	SC1a+	SC	+	HFSF81	1	17440120	8168979	1702282		4158073	26156288	44535	1502794	138200	849435	74861			16230831		52140		23865122			51858			237970368	267979	290294		506538		175644		54647		87443								317998	140182		11426433		19850170	88848				2763485	114226			196152	86379		79863	1008426					483709	776956	46797				288277	159581	4112014	283811			337385				
M.sclerotiella	SC1ac	SC	c	HFSF81	1	20220080	433484	4745366		9895204	1062762		147031			223268			1546215		304397		3196091			98354			1831060	182348	80221		157580					251068	40351								770971		54427				350083				18637162	46273			49723	27504				24517				5313902						225677	14869	160301	152851			166797				
M.sclerotiella	SC2a+	SC	+	HFSF83	2	9247631	4265283	2130333		6447633	62427908	335936	927013	179091		105318		713208	18107970	296570	292360		173067600		33956				181242544	217340	459080	197687	844327	340510	102501							57085			6571700		440759	38278	123074	7348302		43168776						154137			132121	68794	51283	233297	175325						1140460					379014	1152777	12615103	158321			830976				
M.sclerotiella	SC2ac	SC	c	HFSF83	2	16218236	517583	5185702		12770610	803264					275009			1924887		126375		4067941						2000874	337884	105977		389499												378605		358610	286138	36062			164981	40547				2462129	245240			238709	138552	51318		529404					380124	1257888					206856	809870	243397	244943			1004364				
M.sclerotiella	SC3a+	SC	+	HFSF85	3	11093870	538354	3857033		10114248	1208409					373533			1629041		313391		4937446			51126			2929828	326225	131214	70209	445910						32196			61560			323512		965169	337704	35912			364852					45180	451764			427102	189307	84940	26021		302680					2128621					438894	803932	189147	194580			1914768				
M.sclerotiella	SC3ac	SC	c	HFSF85	3	11723192	470835	3713287		10760766	1044964					275114			1485977		273719		3483997						1571557	226335	110726		328201									17373			182360		676830	84951				130031						261357			195114	38281	22589			96876					1565193					370777	499398	31767	58180			1374999				
M.gamsii	GA1a+	GA	+	M42	1	6651263	3512792	1269983		3825980	63983472	88435	518117	539895			706030	307079	19105220	1861697	762511	549005	226659776	349591	324723	9654680			151227120	230334	263038	8558392	291842	1277800		109211			87509			12331499			27002772	205427	1198840	134040	632000	8522738		30376524		2932920	486092	750188		103495		502235	134363	174483	176710	484635			3144967	3410531	249716		773626			230790		285422	296737	54005412	242670		26321	302041				
M.gamsii	GA1ac	GA	c	M42	1	12415028	1102160	2146204		10695272	950179		110442			764983			1552945		578222		2449679			441356			493360	314163			91477									216512			332241		1318525	95842	94070								53831	121704			122390	60479	58340	23515		48576					871031					256739	37502	951695	206669		31644	320383				
M.gamsii	GA2a+	GA	+	Ks2_13	2	8634713	5751826	1460765		6361629	41891624		1358987	521090		250405	94889		18181840	194999	243156		93130288	42851	54079	580016			187612816	299199	627982	359957	575364	215331	156801			107521	252108			229081			1487168		491543	75166	346580	7302679		19075206					1415038	231807			149856	82194	70088	1230375	254641					213497	813763					359940	85317	6095126	231606			594636				
M.gamsii	GA2ac	GA	c	Ks2_13	2	12505175	1031182	2069042		11582493	583022								1861693		108743		2386282			61849			376215	277829												36261					311236	137504	75031			95227					651642	231215			156484	26258		34131	841988					74350	995100	22648				323216		229357	229541			572202				
M.gamsii	GA3a+	GA	+	Pats3_1	3	11227849	2325169	1524051		4210830	25814056		932018	142956		304490	86565	137514	7488343	132947	1043141		109044736		137467	229152			152841376	203033	520772	456965	388774	276285				208019	276665			310247			2271971		807389	223284	154502	886387		5897853					201723	257875			220387	61839	79734	281108		130171		50492	25740		1384674					464262	574133	9668237	168942			1120577				
M.gamsii	GA3ac	GA	c	Pats3_1	3	11743635	1125264	1671984		9858023	1514909					650921			1513361		447242		2843305						424147	311808	69009														232968		851278	206590	39836			222112					106194	235993			198694	69827	54088	36355		96247					1450671					398814	362118	174257	149784			1066614				
M.gamsii	GA4a+	GA	+	M10	4	9295499	3949219	1675114		6068476	45738548		1186645	227099		210492	108559	220679	11698081	225685	269726		148732848		50304	293744			208256352	308414	458613	74934	306911	360653	96969				135713			94207			511902		492206	277839	96212	7243929		11334197					92508	221522			226350	126800	80911	724343	738689			26571			1139223					370321	261647	18962484	218983			868964				
M.gamsii	GA4ac	GA	c	M10	4	13059139	2159314	944728		12623692	298634					580170			1742452				2093673						248339	220246																	312109	14706										86815			67760		18038		259214						1009343					308377		169097	74962			592756				
M.gamsii	GA5a+	GA	+	Pr2s1	5	7681022	5163445	1588772		4401100	76005816		843441	261086			381201	181515	14350236	246295	627170	63156	140177600	21821	79200	908500			208243168	167819	384340	1335413	434700	189671	75398			169984	114923			695819			3718915		523762		250297	6414432		25518916						75053			55383	28908	23177	1671916							657908					254507	69642	8572625	83369		497888	291791				
M.gamsii	GA5ac	GA	c	Pr2s1	5	11481575	2573655	673342		11432049	429714								1518069				1778064						287819	227879															260914		223081											56279			33323		10094		39397						740360					257406		122186	61990		174009	260841				
M.solitaria	SO1a+	SO	+	OAS3	1	11084438	4968905	476138		8574136	3543924					378215			4669202		84836		20465538			151761			428291	309804												79993		101318	512114		835636	361599	78373	397805		2189594						137573			105556	141112	132533								841460					297599	663826	2166737	199863		40582	337549				
M.solitaria	SO1ac	SO	c	OAS3	1	11465796	2157810	148781		13046502	1249238					493485			1790759				2192221							248432												84765					639700	172262										122953			89996	61293	68085								896189	54686				221665	632656	246037	202669		37466	325784				
M.solitaria	SO2a+	SO	+	OAS4	2	7279026	5290983	1713039		4889713	44710320	204066	130389	191083		292301		218589	11736494	200105	164086		127107512						9896393	278833				47189								60541			627509		1051050	331448	54909	1755581		15232901					37519	368133			334136	170432	103392	189310		148978					1728579					395703	593749	6013066	169182			1549046				
M.solitaria	SO2ac	SO	c	OAS4	2	10099415	3546481	340363		8825351	1729175					296354			1387298		85238		2908442							309795												41681			249307		944457	280033	6139			172114					31806	308559		70643	288285	136022	69430			150379					1667674					423056	265675	157254	156442			1388060				
M.solitaria	SO3a+	SO	+	OAS5	3	6611023	5939421	1485769		3770320	64573240	138376	390304	226345			104720	247194	14216151	363075	334182		184224176		81632	45838			81989208	224678	141660		182715	145439								67172			1808107		689874	131627	135782	6396065		42592312					38256	188347			153949	148542	67019	107763		76199			80276		969463					325200	879240	17071166	188820			621926				
