species	strain	Media	asso	replicate	growthrate	location	source_asso
Exigua	HFSF103	lcA	bac	1	7.172727273	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	lcA	bac	2	7.324242424	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	lcA	bac	3	6.884848485	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	lcA	bac	4	7.639393939	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	lcA	bac	5	6.948484848	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	lcA	cured	1	7.663636364	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	lcA	cured	2	7.866666667	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	lcA	cured	3	7.843939394	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	lcA	cured	4	7.975757576	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	lcA	cured	5	7.792424242	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	PDA	bac	1	7.295454545	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	PDA	bac	2	7.090909091	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	PDA	bac	3	7.163636364	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	PDA	bac	4	7.684848485	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	PDA	bac	5	7.478787879	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	PDA	cured	1	8.081818182	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	PDA	cured	2	8.21969697	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	PDA	cured	3	7.903030303	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	PDA	cured	4	7.818181818	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF103	PDA	cured	5	8.125757576	Hafelekar	Pseudomonas frederiksbergensis
Exigua	HFSF26	lcA	bac	1	8.693939394	Hafelekar	Pseudomonas helmanticensis
Exigua	HFSF26	lcA	bac	2	8.509090909	Hafelekar	Pseudomonas helmanticensis
Exigua	HFSF26	lcA	bac	3	8.912121212	Hafelekar	Pseudomonas helmanticensis
Exigua	HFSF26	lcA	bac	4	8.660606061	Hafelekar	Pseudomonas helmanticensis
Exigua	HFSF26	lcA	bac	5	8.675757576	Hafelekar	Pseudomonas helmanticensis
Exigua	HFSF26	lcA	cured	1	8.23030303	Hafelekar	Pseudomonas helmanticensis
Exigua	HFSF26	lcA	cured	2	8.575757576	Hafelekar	Pseudomonas helmanticensis
Exigua	HFSF26	lcA	cured	3	8.251515152	Hafelekar	Pseudomonas helmanticensis
Exigua	HFSF26	lcA	cured	4	8.448484848	Hafelekar	Pseudomonas helmanticensis
Exigua	HFSF26	lcA	cured	5	8.481818182	Hafelekar	Pseudomonas helmanticensis
