sample;selected;cycle;name;id;class_name;bio_replica;strain;replica;trt;type;type_sample;notes;outliers;ms26.0158;ms27.0236;ms27.0312;ms28.0187;ms28.0314;ms31.0182;ms33.0340;ms34.9957;ms39.0239;ms42.0103;ms42.0426;ms44.0219;ms44.0579;ms46.0370;ms48.0125;ms48.0528;ms49.0121;ms53.0031;ms53.0390;ms55.0565;ms58.0735;ms60.0527;ms61.0283;ms63.0089;ms72.0526;ms72.0887;ms74.0067;ms74.0684;ms75.0440;ms75.0789;ms75.9442;ms76.0825;ms78.9675;ms79.0744;ms80.9541;ms81.0357;ms81.0685;ms82.0392;ms83.0162;ms83.0513;ms83.0789;ms85.0651;ms85.1003;ms87.0440;ms87.0795;ms90.0633;ms91.0668;ms92.0285;ms92.9848;ms93.0905;ms95.0832;ms96.9992;ms98.1009;ms99.0447;ms99.0809;ms103.0762;ms105.0299;ms105.0717;ms107.1064;ms110.9426;ms111.0820;ms111.1164;ms115.0765;ms115.1130;ms117.0250;ms117.0523;ms117.0914;ms118.9798;ms119.1034;ms120.9558;ms121.0684;ms121.1155;ms123.0461;ms123.0865;ms123.9460;ms125.9607;ms126.9046;ms126.9707;ms127.0402;ms129.0914;ms129.1286;ms131.0712;ms131.1069;ms133.0871;ms133.1222;ms135.1380;ms136.9562;ms136.9961;ms137.0610;ms137.1285;ms138.9725;ms139.1129;ms141.0917;ms141.9543;ms143.0281;ms143.1434;ms145.1204;ms147.1297;ms149.1217;ms151.0915;ms151.9825;ms159.1029;ms159.1383;ms163.0945;ms163.1348;ms165.1098;ms167.1090;ms171.1708;ms175.0964;ms177.1208;ms179.1240;ms183.1598;ms195.1235;ms205.1911
Cooler0_vial1;yes;1;Blank empty;Empty;Empty;1;Empty;a;no;Empty;empty;;no;0.4154;0.3453;0.0737;0.0872;1.4196;23.0264;13.6563;0.0152;10.6848;1.1294;2.069;5.4285;0.9468;16.5292;0.5178;6.214;0.0551;0.0629;0.4927;13.0555;0.3412;5.968;15.01;0.1778;1.6558;0.0741;0.0544;9.8454;3.3266;0.6715;0.0414;0.0082;0.0426;0.1069;0;0.3794;0.264;0.0479;0.0533;0.3089;0.4484;0.7617;0.1767;12.0326;12.3178;0.8069;13.8567;0.1033;0.0367;0.2843;0.1782;0.0754;0.0274;0.4466;0.2533;0.2895;0.1845;1.2908;0.0461;0.0079;0.0809;0.0757;0.1234;0.0763;0.0431;0.199;0.2471;0.0013;0.0575;0.0222;1.6054;0.0225;0.1649;0.0405;0.3526;0.1007;0.5592;0.0117;0.0803;0.0783;0.036;0.0931;0.0447;0.2448;0.0046;0.0179;0.0086;0.0088;0.0603;0.0806;0.0066;0.0727;0.0266;0.0177;0.016;0.0273;0.0581;0.012;0.0208;0.6707;0.005;0.0092;0.038;0.0757;0.0194;0.1455;0;0.0171;0.0628;0.0571;0.2603;0.0093;0.5438;0.1113
Cooler0_vial2;yes;1;Blank-PDA;PDA;PDA;1;PDA;a;no;PDA;PDA;blue lid;no;0.1565;0.1998;0.0333;0.0879;0.6533;6.444;58.2218;0.0251;8.5461;0.6129;1.9755;3.7947;0.8205;9.0844;0.5459;0.445;0.0594;0.0771;0.2736;6.2868;0.2581;13.2113;17.1629;0.3818;0.5374;0.0874;0.0631;3.6951;2.6241;0.2436;0.0522;0.0086;0.0351;0.243;0.0016;0.4453;0.3854;0.0453;0.0548;0.1999;0.6099;0.8048;0.1794;8.4446;2.3179;0.0886;0.9677;0.0218;0.0117;0.1422;0.1414;0.0872;0.0179;0.5273;0.3896;0.2782;0.5583;0.7975;0.1437;0.0088;0.0442;0.0599;0.109;0.0728;0.0748;0.1778;0.2537;0;0.0016;0.0213;1.5334;0.0354;0.1437;0.0344;0.337;0.1054;0.5114;0.0174;0.0757;0.0554;0.0511;0.1012;0.0325;0.3102;0;0.0021;0.0101;0.0052;0.0449;0.1092;0.0046;0.0704;0.0272;0.027;0.0145;0.054;0.0438;0.0079;0.0161;0.9202;0.0015;0.0025;0.0324;0.0802;0.003;0.1711;0.0141;0.0233;0.094;0.0801;0.4349;0.0101;0.7276;0.017
Cooler0_vial3;yes;1;PA1ac;PA1;PA;1;1;a;c;M22;funghi;;no;0.2178;1.6144;0.4177;0.0623;0.8039;8.924;40.2644;0.0176;40.3721;0.7338;8.2281;3.0606;9.1232;3.6404;0.5494;1.2909;0.0509;0.139;0.0616;0.4067;0.5406;19.0413;21.9508;1.7776;0.1592;0.0584;0.1177;1.2787;2.4163;0.1233;0.0352;0.0084;0.009;0.4622;0;0.3669;0.2496;0.0366;0.0591;0.1404;0.2236;0.1652;0.0806;6.2413;0.2972;0.0995;0.5109;0.0152;0.0327;0.0803;0.1115;0.0378;0.0085;0.5278;0.2901;0.2893;0.1549;0.2031;0.0635;0.0016;0.0267;0.0419;0.092;0.0185;0.0796;0.1885;0.2716;0;0.0262;0.0207;0.244;0.0702;0.1188;0.0275;0.373;0.096;0.4711;0.0128;0.0754;0.0557;0.0211;0.1519;0.0407;0.3291;0;0;0.0121;0.0041;0.0506;0.072;0.0051;0.0314;0.0194;0.0288;0.0179;0.0169;0.0406;0.0026;0.0054;1.049;0.0032;0.0048;0.0322;0.0754;0.0075;0.1951;0.0157;0.0121;0.1277;0.0989;0.476;0.0065;0.9961;0.0119
Cooler0_vial4;yes;1;Ex1a+;EX1;EX;1;1;a;+;Pr2s22;funghi;;no;0.7088;1.8924;0.5049;0.0569;2.6575;40.7611;65.1669;0.0135;45.8102;2.0907;10.4068;6.7317;9.5681;11.7796;0.5838;14.8376;0.0453;0.1797;0.3182;1.1323;5.387;24.3607;21.3961;0.4576;3.8369;0.6006;0.0999;1.1201;2.4128;0.3644;0.0239;0.0198;0.0058;0.5469;0.0032;0.5488;0.253;0.0471;0.0587;0.1444;0.4104;0.298;0.0669;12.8167;0.5294;3.2766;1.4134;0.0208;0.0146;0.8333;0.2029;0.0338;0.0158;0.6099;0.2884;0.398;0.2158;0.707;0.0941;0;0.0256;0.0371;0.107;0.0166;0.083;0.2351;0.3632;0.0121;0.0265;0.0236;0.4361;0.064;0.1666;0.0265;0.3677;0.0917;0.4467;0.0168;0.1304;0.0824;0.0171;0.1879;0.0261;0.4043;0;0;0.0106;0.0129;0.1129;0.052;0.0059;0.04;0.0269;0.0265;0.0203;0.0197;0.0465;0.0067;0.0243;1.2937;0.0056;0.0102;0.0386;0.0958;0.0096;0.2242;0.0181;0.0161;0.1648;0.1166;0.5337;0.0082;1.2506;0.0625
Cooler0_vial5;yes;1;HY1ac;HY1;HY;1;1;a;c;Ks1_7;funghi;red lid;no;0.0974;1.0033;0.2275;2.9046;0.3645;8.093;30.9351;0.0266;25.4028;0.5369;4.9884;2.6005;5.4854;3.3797;0.5762;0.9219;0.2403;0.0933;0.0754;0;0.3479;10.9908;20.2633;1.108;0.2863;0.0529;0.4284;0.6274;1.8486;0.0942;0.1858;0;0.0238;0.2929;0.0049;0.4365;0.1786;0.0451;0.0519;0.1289;0.216;0.1496;0.0481;7.1549;0.2411;0.2612;0.708;0.0179;0.4564;0.0645;0.1013;0.0352;0.0124;0.5429;0.1641;0.3202;0.2111;0.5614;0.038;0.0031;0.0236;0.1624;0.0843;0.0105;0.0693;0.2072;0.2609;4.00E-04;0.0091;0.0217;0.2545;0.0489;0.1261;0.0295;0.363;0.097;0.452;0.0142;0.0845;0.0603;0.0577;0.1583;0.0156;0.382;7.00E-04;0;0.0095;0.0042;0.0567;0.045;0.0115;0.0366;0.0265;0.0294;0.0149;0.0211;0.036;0.0018;0.0106;1.1711;0.0038;0.0065;0.0339;0.0934;0.0054;0.211;0.0203;0.014;0.1698;0.1188;0.4792;0.0097;1.3449;0.0113
Cooler0_vial6;yes;1;Sc1a+;SC1;SC;1;1;a;+;HFSF81;funghi;red lid;no;1.6785;2.9612;0.8919;0.1939;5.4508;83.2966;69.9675;0.0198;71.4239;4.2218;16.092;17.1977;13.294;21.5169;0.6977;34.0985;0.2856;0.2959;1.1521;5.1815;10.0625;21.8798;25.8683;1.1733;14.9454;2.2587;0.0933;2.1893;4.6376;0.9464;0.1459;0.052;0.0139;0.4934;0;0.5802;0.2378;0.0485;0.0544;0.1906;0.4451;0.4167;0.065;20.1653;0.8811;13.3639;3.1084;0.0171;0.0533;3.5048;0.1443;0.0301;0.0116;0.6343;0.2276;0.7017;0.5324;1.4957;0.1679;0.0016;0.0395;0.0387;0.1362;0.0254;0.1022;0.239;1.2359;0.0287;0.0411;0.0241;0.3249;0.0955;0.1944;0.0213;0.3139;0.0947;0.3751;0.01;0.1368;0.1448;0.0152;0.3668;0.0457;0.4134;0.0013;0.0187;0.015;0.0201;1.3166;0.0376;0.0061;0.0357;0.0314;0.0252;0.0366;0.0287;0.0438;0.0171;0.022;1.4266;0.0113;0.0262;0.0447;0.1106;0.0098;0.2251;0.0147;0.0107;0.2011;0.1411;0.5251;0.0106;1.5673;0.0201
Cooler0_vial7;yes;1;PA1a+;PA1;PA;1;1;a;+;M22;funghi;second cycle BLNK;no;1.7257;5.1901;1.5145;0.1395;7.0188;93.6332;99.6109;0.0416;90.9335;5.3531;24.4541;30.2381;22.5823;26.1009;0.8861;73.7244;0.1322;0.4803;2.0747;12.9437;21.8;25.3241;46.5126;3.181;29.6724;5.98;0.127;9.2326;7.2645;3.872;0.0399;0.1831;0.0186;0.9134;0.0036;0.7964;0.3766;0.0525;0.0639;0.4824;0.9821;0.9228;0.1253;26.3218;1.9643;26.4686;6.5948;0.0235;0.0683;18.9458;0.2322;0.027;0.0153;0.8062;0.4024;1.3827;0.2967;3.8405;0.5008;0.0059;0.1243;0.0561;0.2068;0.085;0.1814;0.3427;3.2048;0.0713;0.1938;0.0246;0.5135;0.351;0.183;0.0391;0.3007;0.0891;0.2764;0.02;0.1157;0.4136;0.0476;1.2499;0.0871;0.5473;0.0162;0.1567;0.0145;0.0683;0.0834;0.1108;0.0068;0.0546;0.0411;0.027;0.0243;0.0269;0.0875;0.0482;0.0488;1.5539;0.0224;0.0612;0.0758;0.1307;0.0324;0.2696;0.0244;0.017;0.2568;0.1933;0.6003;0.0151;1.8568;0.024
Cooler0_vial8;yes;1;SC3ac;SC3;SC;3;3;a;c;HFSF85;funghi;;no;0.1436;1.3491;0.3633;0.0977;0.5364;8.7938;30.3241;0.0174;33.2249;0.673;6.8301;4.1308;7.7277;3.5717;0.5796;0.8512;0.0589;0.1336;0.1826;2.3362;0.4875;17.152;19.2091;1.8455;1.3383;0.0785;0.1272;4.7243;2.7551;0.2985;0.0337;0.0219;0.0057;0.3736;0.0029;0.4644;0.1965;0.0502;0.0535;0.1509;0.1688;0.2199;0.0391;9.168;0.3331;1.1746;1.0323;0.0201;0.0347;0.0681;0.1221;0.029;0.0115;0.5956;0.2032;0.3859;0.2118;1.7936;0.0375;0.004;0.0285;0.0319;0.1068;0.0207;0.0867;0.2383;0.2749;0;0.0072;0.0198;0.2217;0.0649;0.1265;0.0219;0.3845;0.0952;0.4209;0.0173;0.0981;0.0612;0.0055;0.1888;0.0164;0.3958;3.00E-04;0;0.0107;0.0017;0.0585;0.0507;0.007;0.0291;0.0261;0.0286;0.02;0.0172;0.0338;0.0023;0.0108;1.2367;0.0026;0;0.044;0.0963;0.0102;0.2075;0.0199;0.0108;0.2223;0.1401;0.476;0.012;1.6368;0.0185
Cooler0_vial9;yes;1;GA5ac;GA5;GA;5;5;a;c;Pr2s1;funghi;blue lid;no;0.155;1.6059;0.4345;0.0728;0.5176;11.4965;46.0008;0.0197;42.7528;0.7244;8.1381;3.2385;8.9442;4.0471;0.569;1.7284;0.043;0.1556;0.0825;0.2765;0.5409;17.666;21.0795;1.4901;0.2717;0.0825;0.1346;1.2168;2.1526;0.1094;0.039;0.0029;0.0097;0.4243;0;0.3832;0.2129;0.0383;0.0514;0.1244;0.1978;0.161;0.0489;7.9406;0.2398;0.2334;0.5279;0.0152;0.0098;0.0728;0.0986;0.025;0.007;0.5843;0.1942;0.337;0.2256;0.8761;0.0502;0.0021;0.0358;0.035;0.1045;0.0179;0.0921;0.2315;0.264;0;0.0096;0.0226;0.2374;0.0582;0.1162;0.0241;0.3694;0.1025;0.4019;0.0143;0.0935;0.0648;0.0055;0.1756;0.01;0.3869;0;0.0022;0.0071;0.0109;0.0659;0.0509;0.0046;0.0367;0.0315;0.0296;0.0267;0.0064;0.0346;0.0046;0.0053;1.178;0.0016;0;0.033;0.1034;0.0017;0.2061;0.0211;0.0085;0.2149;0.1314;0.4771;0.0136;1.7084;0.0199
Cooler0_vial10;yes;1;HY2a+;HY2;HY;2;2;a;+;Ks2_11;funghi;;no;1.0814;2.0597;0.4579;0.757;3.642;57.1347;49.7078;0.0169;42.0834;2.6346;10.0439;8.0567;8.7083;15.6341;0.6637;21.7471;0.1035;0.1739;0.4811;2.9164;5.2576;13.7626;27.1797;1.5949;5.9844;1.552;0.1506;1.4704;2.8464;0.4653;0.0257;0.0222;0.0176;0.3428;0.0027;0.4898;0.2029;0.0401;0.056;0.1825;0.3174;0.2379;0.0565;13.4969;0.5639;5.409;1.6182;0.0198;0.1147;1.4045;0.1153;0.0285;0.0089;0.6206;0.222;0.3955;0.2425;1.1065;0.1155;0.0037;0.0293;0.2532;0.1047;0.0169;0.1291;0.2536;0.4253;0.0174;0.0164;0.022;0.269;0.0749;0.1427;0.0252;0.3449;0.1018;0.3616;0.0163;0.1043;0.0772;0.1663;0.2386;0.0359;0.4124;0;4.00E-04;0.0069;0.0193;0.0615;0.0455;0.0058;0.0396;0.0214;0.0237;0.0227;0.0135;0.0352;0.0087;0.0181;1.2329;0.006;0.0063;0.0363;0.1205;0.0058;0.2282;0.0213;0.0111;0.2572;0.1386;0.4871;0.0104;1.7879;0.02
