strain	diffgr	diffgrsig	coefficient_fun_model1	coefficient_bac_model1	coefficient_bac_model2	coefficient_fun_model3
EX_HFSF103	0.686969697	0.686969697	1.77644042	0.20465347	0.291228637	1.382854398
EX_HFSF26	-0.537575758	-0.537575758	0.668935388	0.292325508	0.230756922	1.007595142
EX_Ks2_4	-0.844242424	-0.844242424	0.28832475	0.287024261	0.142022251	0.821947143
EX_Pats4_2	0.886363636	0.886363636	1.046025528	0.271086813	0.327891902	0.918008229
EX_Pr2s22	-0.023030303	0	0.661309181	0.059715003	0.079644962	0.55349331
GA_Ks2_13	-0.244848485	-0.244848485	0.250704761	0.203737268	0.105429498	0.502374054
GA_M10	-0.201818182	0	0.192544318	0.201918096	0.164057622	0.509643803
GA_M42	0.018484849	0	0.023759955	0.27258515	0.273379435	-0.030574121
GA_Pats3_1	-1.084242424	-1.084242424	0.319229871	0.218989222	0.276096399	-0.16537702
GA_Pr2s1	-0.204848485	-0.204848485	0.337428169	0.179317786	0.143450697	0.210442221
HY_Ks1_7	0.19939394	0.19939394	0.451197943	0.181720453	0.369418059	0.088252713
HY_Ks2_11	0.047878787	0	0.589464113	0.173008003	0.212585571	0.63284324
HY_Ks2_12	-0.004848485	0	0.63328896	0.237258092	0.2866952	0.355330687
HY_Patw2_7	-2.165454546	-2.165454546	0.138331761	0.224184354	0.132446247	0.253188829
PA_M1	0.528484849	0.528484849	-0.242860113	0.551584206	0.585397755	-0.167521185
PA_M22	-0.005454545	0	-0.095557494	0.598005702	0.556185915	-0.892248417
PA_Pfs28	-0.142424242	-0.142424242	0.586466384	0.571965001	0.533465722	0.631411261
PA_Pr1s18	-0.390909091	-0.390909091	-0.012291256	0.608977458	0.632427833	-0.006665203
SC_HFSF81	0.492121212	0.492121212	0.217785416	0.312406863	0.396551084	-0.133143385
SC_HFSF83	-1.135151515	-1.135151515	0.454666539	0.272159623	0.267327736	0.463270511
SC_HFSF85	0.801818182	0.801818182	0.997941686	0.007272345	-0.011121004	1.180186669
SO_OAS3	-0.151212122	-0.151212122	0.956371058	0.021711461	0.031713078	0.864424514
SO_OAS4	-0.046060606	0	0.929385367	0.037937302	0.084886899	0.111989285
SO_OAS5	0.056666667	0	0.398289947	0.218421404	0.231664493	0.210359646
